X,Y,Count,Pct
0.0,0.0,0,0.0
0.0,0.05,0,0.0
0.0,0.1,0,0.0
0.0,0.15,0,0.0
0.0,0.2,0,0.0
0.0,0.25,0,0.0
0.0,0.3,0,0.0
0.0,0.35,0,0.0
0.0,0.4,0,0.0
0.0,0.45,0,0.0
0.0,0.5,0,0.0
0.0,0.55,0,0.0
0.0,0.6,0,0.0
0.0,0.65,0,0.0
0.0,0.7,0,0.0
0.0,0.75,0,0.0
0.0,0.8,0,0.0
0.0,0.85,0,0.0
0.0,0.9,0,0.0
0.0,0.95,0,0.0
0.0,1.0,0,0.0
0.01,0.0,0,0.0
0.01,0.05,0,0.0
0.01,0.1,0,0.0
0.01,0.15,0,0.0
0.01,0.2,0,0.0
0.01,0.25,0,0.0
0.01,0.3,0,0.0
0.01,0.35,0,0.0
0.01,0.4,0,0.0
0.01,0.45,0,0.0
0.01,0.5,0,0.0
0.01,0.55,0,0.0
0.01,0.6,0,0.0
0.01,0.65,0,0.0
0.01,0.7,0,0.0
0.01,0.75,0,0.0
0.01,0.8,0,0.0
0.01,0.85,0,0.0
0.01,0.9,0,0.0
0.01,0.95,0,0.0
0.01,1.0,0,0.0
0.02,0.0,0,0.0
0.02,0.05,0,0.0
0.02,0.1,0,0.0
0.02,0.15,0,0.0
0.02,0.2,0,0.0
0.02,0.25,0,0.0
0.02,0.3,0,0.0
0.02,0.35,0,0.0
0.02,0.4,0,0.0
0.02,0.45,0,0.0
0.02,0.5,0,0.0
0.02,0.55,0,0.0
0.02,0.6,0,0.0
0.02,0.65,0,0.0
0.02,0.7,0,0.0
0.02,0.75,0,0.0
0.02,0.8,0,0.0
0.02,0.85,0,0.0
0.02,0.9,0,0.0
0.02,0.95,0,0.0
0.02,1.0,0,0.0
0.03,0.0,0,0.0
0.03,0.05,0,0.0
0.03,0.1,0,0.0
0.03,0.15,0,0.0
0.03,0.2,0,0.0
0.03,0.25,0,0.0
0.03,0.3,0,0.0
0.03,0.35,0,0.0
0.03,0.4,0,0.0
0.03,0.45,0,0.0
0.03,0.5,0,0.0
0.03,0.55,0,0.0
0.03,0.6,0,0.0
0.03,0.65,0,0.0
0.03,0.7,0,0.0
0.03,0.75,0,0.0
0.03,0.8,0,0.0
0.03,0.85,0,0.0
0.03,0.9,0,0.0
0.03,0.95,0,0.0
0.03,1.0,0,0.0
0.04,0.0,0,0.0
0.04,0.05,0,0.0
0.04,0.1,0,0.0
0.04,0.15,0,0.0
0.04,0.2,0,0.0
0.04,0.25,0,0.0
0.04,0.3,0,0.0
0.04,0.35,0,0.0
0.04,0.4,0,0.0
0.04,0.45,0,0.0
0.04,0.5,0,0.0
0.04,0.55,0,0.0
0.04,0.6,0,0.0
0.04,0.65,0,0.0
0.04,0.7,0,0.0
0.04,0.75,0,0.0
0.04,0.8,0,0.0
0.04,0.85,0,0.0
0.04,0.9,0,0.0
0.04,0.95,0,0.0
0.04,1.0,0,0.0
0.05,0.0,0,0.0
0.05,0.05,0,0.0
0.05,0.1,0,0.0
0.05,0.15,0,0.0
0.05,0.2,0,0.0
0.05,0.25,0,0.0
0.05,0.3,0,0.0
0.05,0.35,0,0.0
0.05,0.4,0,0.0
0.05,0.45,0,0.0
0.05,0.5,0,0.0
0.05,0.55,0,0.0
0.05,0.6,0,0.0
0.05,0.65,1,0.0003792188092529389
0.05,0.7,0,0.0
0.05,0.75,0,0.0
0.05,0.8,1,0.0003792188092529389
0.05,0.85,1,0.0003792188092529389
0.05,0.9,0,0.0
0.05,0.95,0,0.0
0.05,1.0,1,0.0003792188092529389
0.06,0.0,0,0.0
0.06,0.05,0,0.0
0.06,0.1,0,0.0
0.06,0.15,1,0.0003792188092529389
0.06,0.2,0,0.0
0.06,0.25,0,0.0
0.06,0.3,1,0.0003792188092529389
0.06,0.35,0,0.0
0.06,0.4,0,0.0
0.06,0.45,0,0.0
0.06,0.5,0,0.0
0.06,0.55,2,0.0007584376185058779
0.06,0.6,2,0.0007584376185058779
0.06,0.65,1,0.0003792188092529389
0.06,0.7,1,0.0003792188092529389
0.06,0.75,2,0.0007584376185058779
0.06,0.8,1,0.0003792188092529389
0.06,0.85,0,0.0
0.06,0.9,1,0.0003792188092529389
0.06,0.95,0,0.0
0.06,1.0,2,0.0007584376185058779
0.07,0.0,0,0.0
0.07,0.05,0,0.0
0.07,0.1,0,0.0
0.07,0.15,0,0.0
0.07,0.2,1,0.0003792188092529389
0.07,0.25,0,0.0
0.07,0.3,2,0.0007584376185058779
0.07,0.35,1,0.0003792188092529389
0.07,0.4,2,0.0007584376185058779
0.07,0.45,2,0.0007584376185058779
0.07,0.5,1,0.0003792188092529389
0.07,0.55,1,0.0003792188092529389
0.07,0.6,7,0.0026545316647705727
0.07,0.65,7,0.0026545316647705727
0.07,0.7,9,0.0034129692832764505
0.07,0.75,7,0.0026545316647705727
0.07,0.8,12,0.004550625711035267
0.07,0.85,6,0.0022753128555176336
0.07,0.9,5,0.0018960940462646946
0.07,0.95,0,0.0
0.07,1.0,2,0.0007584376185058779
0.08,0.0,0,0.0
0.08,0.05,0,0.0
0.08,0.1,3,0.0011376564277588168
0.08,0.15,0,0.0
0.08,0.2,1,0.0003792188092529389
0.08,0.25,0,0.0
0.08,0.3,1,0.0003792188092529389
0.08,0.35,0,0.0
0.08,0.4,3,0.0011376564277588168
0.08,0.45,2,0.0007584376185058779
0.08,0.5,4,0.0015168752370117557
0.08,0.55,10,0.0037921880925293893
0.08,0.6,16,0.006067500948047023
0.08,0.65,15,0.005688282138794084
0.08,0.7,20,0.0075843761850587785
0.08,0.75,26,0.009859689040576413
0.08,0.8,22,0.008342813803564657
0.08,0.85,19,0.00720515737580584
0.08,0.9,8,0.0030337504740235114
0.08,0.95,5,0.0018960940462646946
0.08,1.0,6,0.0022753128555176336
0.09,0.0,2,0.0007584376185058779
0.09,0.05,1,0.0003792188092529389
0.09,0.1,0,0.0
0.09,0.15,0,0.0
0.09,0.2,1,0.0003792188092529389
0.09,0.25,0,0.0
0.09,0.3,3,0.0011376564277588168
0.09,0.35,3,0.0011376564277588168
0.09,0.4,3,0.0011376564277588168
0.09,0.45,1,0.0003792188092529389
0.09,0.5,3,0.0011376564277588168
0.09,0.55,17,0.006446719757299962
0.09,0.6,22,0.008342813803564657
0.09,0.65,31,0.011755783086841108
0.09,0.7,42,0.015927189988623434
0.09,0.75,51,0.019340159271899887
0.09,0.8,27,0.010238907849829351
0.09,0.85,14,0.005309063329541145
0.09,0.9,14,0.005309063329541145
0.09,0.95,5,0.0018960940462646946
0.09,1.0,11,0.004171406901782328
0.1,0.0,0,0.0
0.1,0.05,0,0.0
0.1,0.1,1,0.0003792188092529389
0.1,0.15,1,0.0003792188092529389
0.1,0.2,2,0.0007584376185058779
0.1,0.25,2,0.0007584376185058779
0.1,0.3,1,0.0003792188092529389
0.1,0.35,3,0.0011376564277588168
0.1,0.4,7,0.0026545316647705727
0.1,0.45,8,0.0030337504740235114
0.1,0.5,9,0.0034129692832764505
0.1,0.55,19,0.00720515737580584
0.1,0.6,38,0.01441031475161168
0.1,0.65,39,0.01478953356086462
0.1,0.7,42,0.015927189988623434
0.1,0.75,62,0.023511566173682216
0.1,0.8,34,0.012893439514599925
0.1,0.85,18,0.006825938566552901
0.1,0.9,18,0.006825938566552901
0.1,0.95,9,0.0034129692832764505
0.1,1.0,5,0.0018960940462646946
0.11,0.0,0,0.0
0.11,0.05,0,0.0
0.11,0.1,0,0.0
0.11,0.15,0,0.0
0.11,0.2,0,0.0
0.11,0.25,4,0.0015168752370117557
0.11,0.3,0,0.0
0.11,0.35,5,0.0018960940462646946
0.11,0.4,4,0.0015168752370117557
0.11,0.45,11,0.004171406901782328
0.11,0.5,11,0.004171406901782328
0.11,0.55,18,0.006825938566552901
0.11,0.6,36,0.013651877133105802
0.11,0.65,52,0.019719378081152827
0.11,0.7,49,0.018581721653394008
0.11,0.75,63,0.023890784982935155
0.11,0.8,53,0.020098596890405763
0.11,0.85,21,0.007963594994311717
0.11,0.9,12,0.004550625711035267
0.11,0.95,8,0.0030337504740235114
0.11,1.0,7,0.0026545316647705727
0.12,0.0,0,0.0
0.12,0.05,0,0.0
0.12,0.1,1,0.0003792188092529389
0.12,0.15,1,0.0003792188092529389
0.12,0.2,2,0.0007584376185058779
0.12,0.25,1,0.0003792188092529389
0.12,0.3,1,0.0003792188092529389
0.12,0.35,3,0.0011376564277588168
0.12,0.4,7,0.0026545316647705727
0.12,0.45,9,0.0034129692832764505
0.12,0.5,9,0.0034129692832764505
0.12,0.55,25,0.009480470231323474
0.12,0.6,32,0.012135001896094046
0.12,0.65,46,0.017444065225635193
0.12,0.7,44,0.016685627607129314
0.12,0.75,52,0.019719378081152827
0.12,0.8,29,0.010997345468335229
0.12,0.85,22,0.008342813803564657
0.12,0.9,12,0.004550625711035267
0.12,0.95,6,0.0022753128555176336
0.12,1.0,6,0.0022753128555176336
0.13,0.0,2,0.0007584376185058779
0.13,0.05,0,0.0
0.13,0.1,0,0.0
0.13,0.15,0,0.0
0.13,0.2,3,0.0011376564277588168
0.13,0.25,0,0.0
0.13,0.3,1,0.0003792188092529389
0.13,0.35,2,0.0007584376185058779
0.13,0.4,8,0.0030337504740235114
0.13,0.45,10,0.0037921880925293893
0.13,0.5,15,0.005688282138794084
0.13,0.55,12,0.004550625711035267
0.13,0.6,25,0.009480470231323474
0.13,0.65,35,0.013272658323852863
0.13,0.7,46,0.017444065225635193
0.13,0.75,46,0.017444065225635193
0.13,0.8,34,0.012893439514599925
0.13,0.85,23,0.008722032612817596
0.13,0.9,13,0.004929844520288207
0.13,0.95,2,0.0007584376185058779
0.13,1.0,9,0.0034129692832764505
0.14,0.0,2,0.0007584376185058779
0.14,0.05,0,0.0
0.14,0.1,1,0.0003792188092529389
0.14,0.15,0,0.0
0.14,0.2,0,0.0
0.14,0.25,3,0.0011376564277588168
0.14,0.3,1,0.0003792188092529389
0.14,0.35,0,0.0
0.14,0.4,3,0.0011376564277588168
0.14,0.45,3,0.0011376564277588168
